,log,cluster
504,"#Eagles fall short against #Redskins, 27-20. @ZBerm has it all here in his game story: http://t.co/h934UMpN",2
505,"For the #Redskins, it's simple - #BeatDallas | http://t.co/k8woTR6H",2
506,"So, if it goes to OT like DAL-NO, NFL wont blackout OT. How nice #bonestupidrule RT @Rotoworld_FB: Cowboys-Redskins flexed to SNF in Week 17",2
507,@KDTrey5 can I get a rt for them redskins!!! Winning 6 straight,2
508,Redskins. Cowboys. For the division. Win or go home. Sunday night. Primetime. #AreYouNotEntertained???,4
509,Redskins outlast lowly Eagles as RG III returns http://t.co/IkJqAiC9,2
510,Merry Griffmas Eve @Redskins!!!! #HTTR,2
511,RGIII safe but effective as Redskins top Eagles http://t.co/u4CSjOoY,2
512,Redskins outlast lowly Eagles as RG III returns http://t.co/3vby0vj8,2
513,"@jamaal103s @nfl if skins clinch next week it's gotta be RGIII #ROY if not , than real tough call",2
514,I can't emphasize enough how my life here in Dallas will be a living hell if Cowboys beat the Redskins next week to take that playoff spot.,2
515,RT @RobCarlinCSN: It's official!! #Redskins game with Cowboys flexed to 8:20 Sunday night.. FedEx will be electric!! #RedskinsTalk,4
516,@john_keim Also I think the @Redskins have some great people covering them. Your insight and (cont) http://t.co/a4Vq2AdP,2
517,Sigh just a quick few hours at work but sall good since redskins won!,2
518,@KDTrey5 can I get a rt for them redskins!!! Winning 6 straight#HTTR,2
519,"See this @L_Burna18? MT: @PostSports

#NFL announces #Redskins - #Cowboys game next Sunday will be moved to  8:20 p.m. time slot on NBC.",4
520,http://t.co/tIT0kwiS.Week16.(23 dec).WAS.Redskins.vs.PHI.Eagles.720p  by Nepotu,1
521,Redskins outlast lowly Eagles as RG III returns http://t.co/S3gvczAI,2
522,Redskins are going to win the nfc east @ESPN_FirstTake,2
523,@ChrisOBrien83 redskins game late one sunday night.,4
524,"RT @BieberReject: ""Dallas Cowboys suck"" 5 Time Super Bowl Champions, NFL winners  1971, 1977, 1992, 1993, 1995, Plus a DC stadium that's ...",2
525,"So, now I'm a Redskins, Packers, and Lions fan... #NYGiants",2
526,#Redskins alene i front af NFC East - http://t.co/ILnyM3D5 #Cowboys #Giants #Eagles #nfldk,2
527,RT @Snide_Remarks: Woke up to see the #Redskins - #Cowboys game is now 8:20. Hope I wake up tomorrow to bigger surprises.,2
528,"RT @Trollurtimeline: NFC EAST:
1. GIANTS 10-6
2. COWBOYS 9-7
3. EAGLES 9-7
4. REDSKINS 4-12",2
529,RT @BEE_BOSSY: S/O to the Redskins for that W yesterday!,2
530,Damn finish line already sold out size 12 on that redskins color way 9 #Gay.,2
531,Finally a #Redskins v. #Cowboys game with something on the line....PLAYOFFS! http://t.co/xGBbjPoT #nflplayoffs #nfl,2
532,Who really cares about #NFL fans in Europe??? #justsayin  @cjscriven @dcsportsbog @TarikCSN #Skins #Cowboys #wakeupearly #watchsoccer,2
533,"@recordsANDradio Irvin & Rod Smith had 65 total career td's. Their in HOF. Moss too? Remains to be seen.
#httr #Redskins",2
534,#Redskins are 9 and 6. They will make the playoffs.,2
535,That's right! Hehe! ESPN NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts t...  http://t.co/RvgJq7lI,4
536,"It's Dallas Week - Get Pumped #Redskins #HTTR
http://t.co/eg453hL6",2
537,The biggest NFL game next week RedSkins vs Cowboys lol @dan_marchese,2
538,"@J_Panama @ESPN_FirstTake ""REDSKINS""!",2
539,very excited for next Sunday.  my first Cowboys/Redskins game.  AND IT ACTUALLY MEANS SOMETHING.... http://t.co/ow2vBsM6,4
540,@_baaaaaaaased redskins,2
541,New Orleans Saints hold off Dallas Cowboys' late rally for OT win http://t.co/Pr7MCsOS,2
542,Redskins vs. Eagles: Washington Defense Beginning to Shine Approaching Playoffs http://t.co/T4Y6WRch,2
543,"@202SOLE lmaaaooo, should've scooped them to rock for that Redskins playoff run",2
544,Redskins outlast lowly Eagles as RG III returns,2
545,@NFL_AM What do the Redskins have to do to get respect from you guys. Did you guys not watch the Thanksgiving game.,2
546,Duh @Redskins #Redskinsnation #HTTR RT @ESPN_FirstTake: Who do you have winning the NFC East?,2
547,@Wale since your from D.C. HOW BOUT THE REDSKINS!!!,2
548,"Ok, #Redskins fans, I need a good ""Dallas Sucks"" avatar for Dallass week.",2
549,"@ESPN_FirstTake Washington Redskins 
RG3 my man!!",2
550,"RT @Jeff_McLane: #Eagles fall short against #Redskins, 27-20. @ZBerm has it all here in his game story: http://t.co/h934UMpN",2
551,How Will the NFC East Logjam Sort Itself out in Time for Playoffs? http://t.co/Xrql3Q2c #cowboys #nfl,2
552,Redskins need to prove everybody wrong #eastchamp,2
553,@wyche89 Cowboys or Redskins? Opinion?,2
554,So they moved the redskins vs cowboys game to 8:20. I'm still in there. 👍😬☺,4
555,Time to Bench the Redskins | Sports Business Insider:http://t.co/her9zuou … … … … ESPN NFL TMZ Egypt NewTown #Racism Hate #Bullying December,2
556,@ESPN_FirstTake The Washington Redskins cause Romo will FOLD...,2
557,RT @mr_dredlocks: Dallas Cowboys. RT @ESPN_FirstTake: Who do you have winning the NFC East? // Redskins,2
558,@bfnupe90 RT @espn RT @ESPNNFL BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET,4
559,@noreaga yup...next week when cowboys beat redskins,2
560,Cherokee Xotic Eyes Gold Red Glitter Eye Paint American Indian Costume Washington Redskins: Get a professional m... http://t.co/FESSnTqI,2
561,im still a #Giants fan but im goin for the #Redskins in this playoff @VivaLa_Cam gotta be hype lol,2
562,Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/K1diOhYs,2
563,Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/8Ddw58MK,2
564,Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/4CznPQfO,2
565,Redskins close in on NFC East title http://t.co/hwl5S3WK,2
566,"RT @Manny_PPI: For the #Redskins, it's simple - #BeatDallas | http://t.co/k8woTR6H",2
567,Redskins already ready for the Cowboys http://t.co/3UdnDCkX,2
568,Redskins already ready for the Cowboys http://t.co/dDHBHrGJ,2
569,Redskins already ready for the Cowboys http://t.co/U7DdL6UB,2
570,Redskins already ready for the Cowboys http://t.co/dgbyXQJY,2
571,Redskins already ready for the Cowboys http://t.co/l90gaF7y,2
572,Redskins already ready for the Cowboys http://t.co/WaRiu8GH,2
573,Redskins already ready for the Cowboys http://t.co/VrFABtdC,2
574,Redskins already ready for the Cowboys http://t.co/Egsr4pOR,2
575,Redskins already ready for the Cowboys http://t.co/oje0VvXD,2
576,Redskins already ready for the Cowboys http://t.co/EVyAvf64,2
577,Redskins already ready for the Cowboys http://t.co/SJEl8lba,2
578,Redskins already ready for the Cowboys http://t.co/UmARwcZU,2
579,Redskins already ready for the Cowboys http://t.co/77WmEicp,2
580,Redskins already ready for the Cowboys http://t.co/6zdsD3cH,2
581,Redskins already ready for the Cowboys http://t.co/prcN3qfZ,2
582,Redskins already ready for the Cowboys http://t.co/flE25L1K,2
583,Redskins already ready for the Cowboys http://t.co/ZKRaKrCc,2
584,Redskins already ready for the Cowboys http://t.co/nVEcGR48,2
585,Redskins already ready for the Cowboys http://t.co/hABu8TnD,2
586,Redskins already ready for the Cowboys http://t.co/dOUtfH2k,2
587,Redskins already ready for the Cowboys http://t.co/JjnrUOBK,2
588,Redskins already ready for the Cowboys http://t.co/so3RSn4N,2
589,Redskins already ready for the Cowboys http://t.co/q9uhJN5E,2
590,Redskins already ready for the Cowboys http://t.co/TzmkXBNa,2
591,Redskins already ready for the Cowboys http://t.co/1Ki2M0Jv,2
592,Redskins already ready for the Cowboys http://t.co/FvLDvl0I,2
593,Redskins already ready for the Cowboys http://t.co/M8XGgun7,2
594,Redskins already ready for the Cowboys http://t.co/PYXq6ySs,2
595,Redskins already ready for the Cowboys http://t.co/9cYph0K8,2
596,Redskins already ready for the Cowboys http://t.co/959bwISc,2
597,Redskins already ready for the Cowboys http://t.co/t5W2XniN,2
598,Redskins already ready for the Cowboys http://t.co/S451oyEr,2
599,Redskins already ready for the Cowboys http://t.co/aHKu2zql,2
600,Redskins already ready for the Cowboys http://t.co/b6tdRZEM,2
601,Redskins already ready for the Cowboys http://t.co/G8Cm8tP3,2
602,Redskins already ready for the Cowboys http://t.co/usFQXV54,2
603,Redskins already ready for the Cowboys http://t.co/PiPItczx,2
604,Redskins already ready for the Cowboys http://t.co/BP6nAXeD,2
605,"@drjfigueroa @eagles @eaglesnflfans @manuelsalmeida jejeje, le voy a los Eagles contra los Giants y @Redskins on SNF for the NFC East!",2
606,Redskins already ready for the Cowboys http://t.co/cmlOCmu0,2
607,Redskins already ready for the Cowboys http://t.co/KRasRLlC,2
608,@DezBryant keep doing your thing & need you to turn it up on the redskins,2
609,"Battering Santa- /
Openly urinating- /
Welcome to Philly. /
#haiku #Redskins #taters #eagles #football",2
610,#NFL moves the big clash #Cowboys-#Redskins to Sunday night - Who will win?,4
611,Cowboys and Redskins face off for a playoff spot Sunday night! Skins can lose and possibly make it Cowboys can't. But the winner is in!,2
612,@patzocaval same lol. but they should be there. #redskins,2
613,How about those DMV teams!! Ravens and redskins!!,2
614,Cowboys-Redskins flexed to Sunday Night Football in Week 17 http://t.co/z8FsbO6c via @ProFootballTalk,4
615,#NFLRankings Falcons #1; Broncos #2; Patriots #3; Texans #4; Seahawks #5; Packers #6; 49ers #7; Redskins #8; Ravens #9; Colts #10.,2
616,number 1 in the NFC EAST??... o dats dim REDSKINS!!!!! #YAHEARD,2
617,"Gotta love http://t.co/b8y7Y4cm. Headliine on NFC playoff picture story: ""Cowboys still in control.""  WHAT?",2
618,RT @DallasCowboysup: Cowboys-Redskins off to prime time - ESPN http://t.co/Q8LJAY3M,4
619,RT @SNFonNBC: Our Week 17 game will be (as announced by Al)  @dallascowboys and @Redskins #SNF.,2
620,@ESPN_FirstTake REDSKINS ALLDAY!,2
621,"PHOTOS: Redskins 27, Eagles 20: http://t.co/SPnagWDp",6
622,@czabe catching up on yesterday tweets. Loved watching the drama unfold w/game and your family atmosphere! #HTTR #Redskins,2
623,@TobaccoRd_30815 we gon beat redskins...we gon hurt rg3 that game..1st quarter,2
624,Som ventet er #Redskins vs. #Cowboys rykket til SNF i sidste runde #nfldk,2
625,2:20 am start for me in France.  Others?   @imhopper Not to mention fans in the Middle East. Ugh. #Redskins #Cowboys #ExPatSkinsFans,2
626,"Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sound of Music
  Bruno ...  http://t.co/10btWOwP",2
627,"Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sound of Music
  Bruno ...  http://t.co/Ag8B20Sw",2
628,"Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sou...  http://t.co/upE1x2FT",2
629,"Trending Online: Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Santa tracker
  Sound o...",2
630,morning all…great day to be a #REDSKINS fan,2
631,Cowboys playoff picture is clear: beat the Redskins next week and they're in http://t.co/ISyUdkQv,2
632,Redskins=Hate Merry Christmas Eve #TheekHai #WhyYoJordanSign #nowplaying Feliz Navidad #15thingsilove Boxing Day #business #ESPN=EVIL LA GI,2
633,"Redskins rookie RB Alfred Morris has 1413 rushing yards, 103y short of the 'Skins single-season record of 1516 held by Clinton Portis. #httr",2
634,@TorreySmithWR I'm a Redskins fan but much respect and appreciation for what you do in our community.,2
635,It's our turn #REDSKINS,1
636,[Trending on Google] * Happy Holidays * NFL playoff picture * Dallas Cowboys * Russell Wilson * Santa tracker * Sound of Music * Bruno...,2
637,Cowboys-Redskins moved to Sunday night http://t.co/WtNIqTte,4
638,"RT @MikeCornejo: Redskins rookie RB Alfred Morris has 1413 rushing yards, 103y short of the 'Skins single-season record of 1516 held by  ...",2
639,RT @jcanda: very excited for next Sunday.  my first Cowboys/Redskins game.  AND IT ACTUALLY MEANS SOMETHING.... http://t.co/ow2vBsM6,4
640,@PostSports  Time for a new tradition. #WashingtonWeek starts right now. #Redskins,2
641,"""It's one thing to get into the playoffs it's another thing to do so by beating your nemesis"" @MarkKriegel. And #Redskins shall on Sun nite",2
642,One time for the Redskins 👏👏 #Clique ❤💛,2
643,"Per a friend of mine: Raheem Morris buying drinks, joining in on ""F-Dallas!"" chant at Ashburn Original Steakhouse last night. #Redskins",2
644,"👎""@Ms_AshUhLee: One time for the Redskins 👏👏 #Clique ❤💛""",2
645,@IMjustMe_ASH REDSKINS,2
646,@AdamSchefter how would the playoffs look if redskins/cowboys tie & giants win?,2
647,@Redskins Prime time against the Cowboys for a very meaningful game. Doesn't get any better than this. HTTR!,4
648,"""@TheJadax: It's our turn #REDSKINS"" @Ellis_2Reckless",1
649,RT @SkinsGoldPants: @PostSports  Time for a new tradition. #WashingtonWeek starts right now. #Redskins,2
650,RT @ESPNRadio980: No announcement yet on whether Washington/Dallas will be flexed to SundayNightFootball. NFL has until tomorrow at noon ...,2
651,Jason Witten of Dallas Cowboys sets NFL mark for TE catches: With a 5-yard catch in overtime against New Orleans... http://t.co/7jbBbxHs,2
652,Jason Witten of Dallas Cowboys sets NFL mark for TE catches: With a 5-yard catch in overtime against New Orleans... http://t.co/q6eNZsF7,2
653,- These Guys Are Talking About Some Redskins. . . .WhoTF Is That? lol,2
654,Redskins first in the division!,2
655,@FirstName_Ant #REDSKINS indeed it is #HTTR,2
656,@dallascowboys pick ur heads up and start 2 focus on washington from now @DezBryant @MoClaiborne @JasonWitten @DeMarcoMurray @MilesAustinIII,2
657,Video: GameDay: Washington Redskins vs. Philadelphia ... http://t.co/oaeJhFUd #NFL #WashingtonRedskins,2
658,"Redskins vs. Eagles, Week 16: Washington victory sets up showdown vs. Dallas: Robert Griffin III returned to the... http://t.co/hesknGmc",2
659,Sunday Night is for Champions not Chumps LET'S GO @REDSKINS BEAT DALLAS!!!! #HTTR #redskinstalk,4
660,RT @TheTruDET The Skins/Cowboys game flexed to Sunday Night. There is not better rivalry in NFL and it should be on prime time every year.,4
661,"RT @FlyAssMarleyG: 👎""@Ms_AshUhLee: One time for the Redskins 👏👏 #Clique ❤💛""",2
662,"[GOOGLE TRENDS] Happy Holidays, NFL playoff picture, Dallas Cowboys, ...",2
663,the #houstontexans & #niners lose..:( but washington still in it & #seahawks look dangerous <3 #nfl,2
664,Cowboys/Redskins play next Sunday Night for the NFC East Division. #NFC #Redskins #Cowboys,4
665,GM family! Christmas Eve be safe out there doing that last minute shopping!!!! All I want is a Redskins win!!!!,2
666,I cant lie i was excited tto see rg3 in the nfl but I never thought his rookie season woul cause me so much pain,2
667,#httr #redskins #cowturds SportsNation Poll http://t.co/T9nGoP5d,2
668,RT @HTTR24_7: Film shows the #Redskins defense still having errors in coverage. Difference is Foles & Weeden didn't see it to take a ...,2
669,@NattyBo sounds like you’re due for a visit from The Ghost of Redskins Past,2
670,"Source # 1: Traditional QB rating before yesterday: RGIII (2), R. Wilson (#7) and A. Luck (#29) http://t.co/mZV6kFvK",2
671,"Need  packers to beat the vikings, and the lions to beat the bears. And the redskins to win next week to get the wild card lol #TeamGiants",2
672,@ESPN_FirstTake #Dallascowboys in a close game with the #redskins,2
673,RT @Ayoo_argeliooo: I cant lie i was excited tto see rg3 in the nfl but I never thought his rookie season woul cause me so much pain,2
674,"Source #2: ESPN QBR before yesterday: 
RGIII (#6), R. Wilson (#8) and A. Luck (#13) http://t.co/PD69UWNl",2
675,@MichaelVonW @SpringsProgress @Morning_Joe @hardball_chris How about those RedSkins! My love of them followed me to PHX.,2
676,RT @OutsideBoxScore: London Fletcher pukes on Washington Redskins sidelines (Video) http://t.co/oOOe9aQG,2
677,@Ayo_breZZy Redskins win. 49ers lose. •cue last laugh•,2
678,Los WASH #Redskins han ganado 6 consecutivos x 1ª vez desde 1996. Se enfrentaran a Dallas el prox domingo. El ganador se lleva la Division.,2
679,Hail to the Redskins! RT @WarrenSapp Good morning. Victory Monday & Christmas Eve!!,8
680,RG3 is too good for the redskins organization.  He's just too smart an too good for the foreskins they don't deserve him.,2
681,NFL Dallas Cowboys Bradie James GAME WORN REEBOK GLOVES LOW BID!! on eBid United States http://t.co/EEAhuy7m via @ebid,2
682,RT @Bufordtw: Congrats @KaiForbath keep it going #Redskins,2
683,Stubhub lowest ticket for a non standing room ticket for the Redskins-Cowboys game on Sunday is $329.00 #Redskins,2
684,#TwitNewsNow New Orleans Saints Drew Brees on OT win over Dallas http://t.co/ITYHp2Zm #NFL,2
685,#TwitNewsNow Saints beat Cowboys 34-31 in overtime http://t.co/1TVlrfw9 #NFL,2
686,My prediction: RGIII gets hurt next week and Kirk leads the Redskins to a Super Bowl,2
687,@CoopaSteady I'm only worried about that Lions one.. I'm sure the Packers and Redskins will win.,2
688,"RT @drunkcoatesy: ""@johnclarknbc10: Cowboys-Redskins flexed to NBC next Sunday night"" Sitting Bull is Probable...Custer to start.",4
689,@LaurenShehadi This Sunday is gonna be the proudest moment ever to be a Redskins fan!!,2
690,"NBD Never Been to Dallas Fund - http://t.co/wFvKerIw
#Cowboys #Redskins #HTTR",2
691,"i'm so proud of my skinssss thoo !!!!!!!!!!!!!!!!!!! they're killing it !!! 
#REDSKINS",2
692,Reports of a dead rivalry have been exaggerated. #Redskins #Cowboys,2
693,"ICYMI: If u gotta blame someone for Cowboys' loss, start with offense http://t.co/FO4KJaco",2
694,"So the cowboys have gotten blown out by division teams week 17 in 08, and last year. Lets go redskins #RG3 #AthleteSwag",2
695,Ok re last tweet got it sussed as it stands we go to #Redskins and a win would take us to either #Falcons or #Packers; bring it on #12thMan,2
696,RG3 look like Andre 3000 #Redskins #Outkast,2
697,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/DqeA8ZFW,2
698,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/lYyTbiLe,2
699,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/EVwoR57C,2
700,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/QJ0mIl9h,2
701,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/5Go6ytE6,2
702,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/f0IAwgiw,2
703,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/3MB2yo2u,2
704,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/2JVTp02m,2
705,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/ehFgGuyQ,2
706,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/HmiqOErZ,2
707,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/E1yIG5jf,2
708,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/0d2k0Bl5,2
709,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/vqbils70,2
710,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/tRgZbokB,2
711,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/X23UOAEk,2
712,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/ECqDtZCd,2
713,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/AfHKFo7H,2
714,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/9t8cWniD,2
715,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/0Np1Mt1T,2
716,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/MEqu1rjR,2
717,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/07J5xVrk,2
718,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/g4pcTsB6,2
719,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/7ob7QgKT,2
720,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/bLid0MTF,2
721,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/dm0R6fAQ,2
722,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/fTDTb95z,2
723,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/i4uWuHbi,2
724,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/OS1maKZ4,2
725,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/o2qmRPJD,2
726,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/LC85aSCL,2
727,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/2uxqnsKQ,2
728,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/l89Y6rlj,2
729,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/swJ7XPom,2
730,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/gQS1z78t,2
731,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/DwqEkEdg,2
732,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/zU0hUdur,2
733,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/QZKxcLFP,2
734,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/Vb5zHZ7A,2
735,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/HvD8x5Oo,2
736,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/e0E383lL,2
737,RT @Eazeeee: @ESPN_FirstTake Redskins & i'm a GMEN fan!,2
738,Good call NFL on changing the skins cowboys game to primetime.,2
739,ESPN NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET,4
740,@richeisen what is the playoff picture if cowboys/redskins tie & gmen win? #merrychristmas,2
741,"@JBallSr In games against common opponents, the Redskins are 7-5 and Dallas is 8-4.",2
742,"My NFL Awards: MVP: A. Peterson, Roy: RGIII, Comeback Player: Manning",2
743,RT @azannaphx: @MichaelVonW @SpringsProgress @Morning_Joe @hardball_chris How about those RedSkins! My love of them followed me to PHX.,2
744,"Redskins hold off Eagles, close in on NFC East title - Concord Monitor http://t.co/5GwEHP3K",2
745,RT @_RalphLoRaan: My Redskins Bouda PUNISH Dallas Next Week !!!,2
746,Redskins outlast lowly Eagles as RG III returns http://t.co/9X1AFW0j,2
747,"Morning Rush: Pete Carroll shows 'class', resists further humiliating Jim Harbaugh's 49ers (Yahoo!... http://t.co/Oz1JZW1Y #nfl #cowboys",2
748,RT @Bud_u_a_fool: ESPN NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET,4
749,I got the #Redskins winning it. RT @ESPN_FirstTake: Who do you have winning the NFC East?,2
750,Bengals vs Redskins #superbowl @EpicSpazDawg @Jschmitt1700,2
751,"@NattyBo the Ghost of Redskins Present, btw, is just Snyder swimming in a pool of money marked “RG3 merch” (he’s wearing a speedo)",2
752,"Need the Redskins to beat the Cowboys, Lions to beat the Bears and the Packers to beat the Vikings. #GMEN need to beat the eagles. #playoffs",2
753,"Top Google: Happy Holidays, NFL playoff picture, Dallas Cowboys, ...: * Happy Holidays * NFL playoff picture * Dallas Cowboys * Russell...",2
754,Christmas bonus from Atlanta Miami and Washington #pointspread #nfl #sportselect @harirarru http://t.co/TaBHyynO,2
755,It's crazy how my #redskins are in first place. Now hopefully we win the NFC east next week.. #beatCowboys #httr #proudfan #loyalfan,2
756,Sooo the Giants can still make playoffs with a win and a redskins loss...probably won't happen cause Dallas sucks!,2
757,Now I can watch!! #Operationbeatskinsmakeplayoffs RT @ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC-820pm ET,4
758,"#Collie RT @HogsHaven: For those that missed it, #Redskins Cowboys got flexed to Sunday Night Football.",4
759,"RT @JJT_ESPNDallas: ICYMI: If u gotta blame someone for Cowboys' loss, start with offense http://t.co/FO4KJaco",2
760,Your NFL Recap: Week 16: It’s holiday football folks and for Dallas the December script is reading all too famil... http://t.co/wvUNYIU5,2
761,Your NFL Recap: Week 16: It’s holiday football folks and for Dallas the December script is reading all too famil... http://t.co/xLYkEyEg,2
762,Your NFL Recap: Week 16: It’s holiday football folks and for Dallas the December script is reading all too famil... http://t.co/79731O4d,2
763,Your NFL Recap: Week 16: It’s holiday football folks and for Dallas the December script is reading all too famil... http://t.co/QFimxRQA,2
764,[HOT] Your NFL Recap: Week 16: It’s holiday football folks and for Dallas the December script i... http://t.co/SnNmGENV #HipHopDelivered,2
765,"There's much at stake for Redskins-Cowboys, but @SallyJenx wants to know which Dallas team will show up. #DallasWeek http://t.co/7J7JvBzU",2
766,Just listed for sale on eBid - NFL DALLAS COWBOYS/GAME ISSUED FOOTBALL GLOVES LOW BID!! http://t.co/Y7PuJ7CF,2
767,Fox: Robert Griffin III keeps inspiring Redskins http://t.co/n2GeVylc,2
768,Cowboys' Witten sets NFL record for TE catches http://t.co/UBY2v1MV,2
769,RT @Rich_TandlerCSN: Need to Know: Morris finishes strong for #Redskins #RedskinsTalk http://t.co/LWJjdl7V,2
770,Redskins play Sunday night vs cowboys winner goes to the playoffs,4
771,Soooo they changed the Redskins vs Cowboys game to #SNF.... #Ratings #$$$$,2
772,"@NFLRT NBD Never Been to Dallas Syndrome - http://t.co/wFvKerIw
#Cowboys #Redskins #HTTR",2
773,What is the Washington Redskins scorebi http://t.co/s8IsXaPB,2
774,😀 3 packages came from NFL shop today?? Rg3 jersey? YES and possably an Morris jersey? YES and a redskins snow hat? Yes haliuha,2
775,RT @x_pawprints: #NFLBoobies #Redskins #RedskinsNation ! It's that day of the week! http://t.co/O6umoD5h,2
776,@NFLRT Never Been to Dallas Syndrome #Cowboys #Redskins  http://t.co/wFvKerIw,2
777,#Redskins Nation I'm watching NFL AM everyone is picking Cowboys over Skins next week.  Fuel to the fire. #HTTR,2
778,@AyeeCollins NAME 6 PLAYERS ON THE REDSKINS WITHOUT LOOKING IT UP. GO,2
779,"@espn_firsttake Redskins. The Cowboys are destined to fail in big moments. Also, injuries on defense and Washington is hot right now.",2
780,@Wale drops at 2 and a Redskins win! Couldn't have asked for a better Monday!,2
781,Redskins' win sets up big finale vs. Dallas http://t.co/qfMpx9g3,2
782,Daily Slop:Kai Forbath Sets NFL Record With 17-for-17 Start; #Redskins Wins Keep Coming by any Means Necessary http://t.co/wpVH4SEA,2
783,Daily Slop:Kai Forbath Sets NFL Record With 17-for-17 Start; #Redskins Wins Keep Coming by any Means Necessary http://t.co/t6thdhX0,2
784,"@DownIsTheNewUp_ Grreat stat: 5 teams had > 5.5% design edge yesterday, ATS: 5-0. #Packers, #Broncos, #Panthers, #Bears, #Redskins.",2
785,"@Rebellious_Red8 Now what were you saying ... Oh yeah, that's right Dallas lost and the Redskins won. Any predictions moving forward? Lol!",2
786,"#colts & Luck - 8-2 in last 10, #Seahawks & Wilson - 6-1 in last 7, #redskins & #rg3 winners of last 6.  What if Was beats Dal?! #rookieqb",2
787,Who having a redskins vs cowboys house party tho,2
788,guess who got tickets to the redskins cowboy game sunday 😍😍😍,4
789,You RT @tommiecollins: Who having a redskins vs cowboys house party tho,2
790,@espn_firsttake RG3 and the Washington Redskins! #ChocolateCity,2
791,@MaskedTweeterX We'll be looking for some payback when we play your #Redskins in the #NFCCG.,2
792,Hail to the Redskins & Merry Christmas #redskintalk http://t.co/8hVNoNzS,8
793,"I would say u should, but dont u live out Struggledorf lol #YearsAway RT @tommiecollins: Who having a redskins vs cowboys house party tho",2
794,"@redskinsbuzztap did u hear Howie long, terry Bradshaw and j Johnson all said skins 6 wins have been luck & cowboys are best in NFC",2
